player_name,position,team,blended_ppg,shrunk_ppg,total_games
Taysom Hill,TE,NO,7.415596153846154,6.8954352541882304,37
Audric Estimé,RB,NO,7.474999999999999,6.884251295183765,18
Mitchell Trubisky,QB,BUF,6.15945,6.878054253754765,17
Logan Thomas,TE,WAS,8.05,6.8603026471721,16
Tim Boyle,QB,MIA,4.800833333333332,6.8574664863633,6
Tyler Allgeier,RB,ATL,7.051764705882354,6.847579492708955,51
Sean Clifford,QB,GB,0.64,6.845574729544951,2
Tyrell Shavers,WR,BUF,7.797727272727273,6.817205580981086,12
Jerome Ford,RB,CLE,7.03305753070459,6.802531248708247,44
AJ Barner,TE,SEA,7.377941176470589,6.795283575916974,32
AJ McCarron,QB,CIN,0.38000000000000006,6.78057472954495,2
Brenton Strange,TE,JAX,7.325952380952381,6.76623299510807,33
Chig Okonkwo,TE,TEN,7.111176470588235,6.744383602985678,50
Kayshon Boutte,WR,NE,7.090142857142857,6.737409068776413,32
Chris Oladokun,QB,KC,3.354166666666667,6.690126450302627,4
Kedon Slovis,QB,ARI,-0.04,6.675574729544951,2
Tony Jones,RB,ARI,7.995238095238096,6.664515211621313,7
Mike Williams,WR,NYJ,7.286458333333334,6.652468037026042,17
Jaren Hall,QB,MIN,2.0400000000000005,6.622733092928845,3
Elic Ayomanor,WR,TEN,7.28125,6.619862417496922,16
Kimani Vidal,RB,LAC,7.03076923076923,6.619605505761909,22
Miles Sanders,RB,DAL,6.840681818181819,6.560355876974238,31
Cole Kmet,TE,CHI,6.880625,6.525864041440484,48
Xavier Legette,WR,CAR,6.848333333333334,6.516304810692564,30
Trey Benson,RB,ARI,6.999999999999999,6.485092322018653,16
Adam Thielen,WR,MIN,6.651263616557734,6.422101733272327,41
A.T. Perry,WR,NO,7.575,6.409783798923733,8
Sam Howell,QB,SEA,5.555764705882353,6.395348439260082,18
Colby Parkinson,TE,LA,6.756059523809524,6.395085035474799,45
Jerick McKinnon,RB,KC,7.03,6.390668393578355,12
Raheem Mostert,RB,LV,6.5494615384615384,6.361967230931998,40
Chimere Dike,WR,TEN,6.829411764705882,6.314651008040533,17
Mack Hollins,WR,NE,6.511862745098039,6.309123902533631,43
Ezekiel Elliott,RB,DAL,6.5329411764705885,6.308582861354453,32
Tory Horton,WR,SEA,7.3875,6.3026409417808775,8
Dontayvion Wicks,WR,GB,6.488851282051282,6.296770213279215,45
Tyler Boyd,WR,TEN,6.539058823529412,6.273338303628249,32
Brett Rypien,QB,CIN,0.9685714285714287,6.265590235785988,3
C.J. Beathard,QB,JAX,3.5766666666666667,6.245383153029967,6
Hendon Hooker,QB,DET,0.8933333333333334,6.240510870706623,3
Isaiah Likely,TE,BAL,6.612452380952381,6.2390894863156126,41
Demarcus Robinson,WR,SF,6.421554621848739,6.212835631934069,39
Josh Palmer,WR,BUF,6.421166666666666,6.202793950037185,37
Drew Lock,QB,SEA,4.992952380952381,6.169296558484646,14
Rashod Bateman,WR,BAL,6.347596153846155,6.168624079083262,44
Mike Gesicki,TE,CIN,6.5084583333333335,6.1630687055330515,43
Diontae Johnson,WR,BAL,6.438261738261739,6.121841830107134,24
Gardner Minshew,QB,KC,5.5571,6.116599939898878,30
Theo Wease Jr.,WR,MIA,8.633333333333333,6.1152192427702525,3
Jarrett Stidham,QB,DEN,2.6890000000000005,6.084508894214509,5
Gabe Davis,WR,BUF,6.2695,6.046341399603481,32
Devin Neal,RB,NO,6.666666666666667,6.044802072294026,9
Jawhar Jordan,RB,HOU,7.425,6.037203108441039,4
Jalen Milroe,QB,SEA,0.13333333333333333,5.987177537373289,3
Noah Fant,TE,CIN,6.314930402930403,5.986536149184649,42
Brandon Allen,QB,TEN,1.595,5.9864597836359605,4
Marvin Mims Jr.,WR,DEN,6.110710784313726,5.971316496888724,48
Phil Mafah,RB,DAL,10.9,5.938861583487198,1
Chris Rodriguez Jr.,RB,WAS,6.07,5.900942090717953,28
Trey Lance,QB,LAC,3.6224999999999996,5.890328416882829,8
Andrei Iosivas,WR,CIN,6.032549019607844,5.888501653634072,43
D'Onta Foreman,RB,CLE,6.129333333333333,5.8851745767097485,19
Quez Watkins,WR,PHI,7.040000000000002,5.848815744084753,5
Rondale Moore,WR,ARI,6.176470588235294,5.83204231238836,17
Noah Brown,WR,WAS,6.048136363636363,5.817431686317462,25
Cedric Tillman,WR,CLE,5.983636363636364,5.8056141268762085,32
Bam Knight,RB,ARI,6.091666666666667,5.7977682208871855,14
Tez Johnson,WR,TB,6.16,5.787474913568204,15
Sincere McCormick,RB,LV,6.800000000000001,5.787203108441039,4
Bhayshul Tuten,RB,JAX,6.04,5.774858623067161,15
Olamide Zaccheaus,WR,CHI,5.871753246753247,5.7421033255705405,41
Mason Taylor,TE,NYJ,6.684615384615385,5.738245170409799,13
Dylan Sampson,RB,CLE,5.973333333333334,5.727239575448113,15
Calvin Austin III,WR,PIT,5.763203781512605,5.660519828604239,47
Salvon Ahmed,RB,MIA,6.128571428571428,5.659387006493107,7
Teddy Bridgewater,QB,TB,0.6285714285714286,5.599888355064532,4
Bub Means,WR,NO,6.699999999999999,5.593697318493227,4
La'Mical Perine,RB,KC,7.000000000000002,5.584003885551299,2
Samaje Perine,RB,CIN,5.640588235294118,5.58292462934222,49
Kristian Wilkerson,WR,LV,9.8,5.5624247407046115,1
Malik Washington,WR,MIA,5.664810924369747,5.533678698389039,31
Greg Dortch,WR,ARI,5.564240196078432,5.480936902126699,45
Pat Bryant,WR,DEN,5.753846153846154,5.470367009733278,13
D.J. Montgomery,WR,IND,7.300000000000001,5.467121648116535,2
Ryan Flournoy,WR,DAL,5.591666666666667,5.444565772831076,24
Brandin Cooks,WR,BUF,5.500148148148149,5.414283354726891,39
Latavius Murray,RB,BUF,5.526666666666667,5.408191956400495,15
Tyler Lockett,WR,LV,5.459131652661064,5.3956611836955535,51
Sterling Shepard,WR,TB,5.483692307692308,5.394045149091793,36
Tutu Atwell,WR,LA,5.476571428571429,5.390002698652911,37
Tyler Johnson,WR,NYJ,5.520808080808081,5.373108995626,21
Elijah Moore,WR,BUF,5.423668300653595,5.3527300377579845,42
Antonio Gibson,RB,NE,5.387205882352941,5.349678513950503,38
DeVante Parker,WR,NE,5.569230769230769,5.344051220259593,13
Jalen Tolbert,WR,DAL,5.396757703081232,5.330562335049495,43
Jalen Nailor,WR,MIN,5.396274509803922,5.317233683611452,35
Michael Gallup,WR,DAL,5.487499999999999,5.315316962951466,16
David Bell,WR,CLE,5.584444444444445,5.311338601836045,10
Blake Corum,RB,LA,5.330147058823529,5.295703604388509,32
Ty Johnson,RB,BUF,5.288235294117648,5.266656096560597,43
Dawson Knox,TE,BUF,5.496553571428572,5.260626110759327,40
Isaac TeSlaa,WR,DET,5.421428571428572,5.251848659246614,14
KaVontae Turpin,WR,DAL,5.291936274509804,5.243516932618571,48
Melvin Gordon,RB,BAL,5.425,5.237203108441038,4
Allen Lazard,WR,NYJ,5.286349206349207,5.223395009930598,35
Kevin Austin Jr.,WR,NO,5.390625,5.221847272891172,13
DJ Chark,WR,LAC,5.3221428571428575,5.205647692229322,18
Ainias Smith,WR,PHI,5.8999999999999995,5.204108131659142,3
Hunter Renfrow,WR,CAR,5.304421768707484,5.2009772522723825,20
Kevin Harris,RB,NE,5.325,5.197203108441039,4
Gunnar Helm,TE,TEN,5.73125,5.173939010808462,16
Tay Martin,WR,WAS,5.8062499999999995,5.172858131659142,3
Kenny Pickett,QB,LV,4.155066666666667,5.139694178265274,23
Jake Tonges,TE,SF,5.831250000000001,5.116758790988121,12
Emari Demercado,RB,ARI,5.107534965034965,5.108173567277836,36
Raheim Sanders,RB,CLE,5.075,5.09720310844104,4
Jacob Kibodi,RB,CLE,4.9,5.0817187263443415,1
Donald Parham,TE,LAC,5.678571428571429,5.081332911889309,14
Kendre Miller,RB,NO,5.070714285714285,5.080242953796004,20
Jaleel McLaughlin,RB,DEN,5.069558823529412,5.074977507428006,41
Curtis Samuel,WR,BUF,5.088333333333333,5.055166028212673,36
Brittain Brown,RB,CHI,4.85,5.046503885551299,2
Adonai Mitchell,WR,IND,5.079038461538461,5.044749805530808,33
Tyson Bagent,QB,CHI,2.9159000000000006,5.032911637432918,11
Zay Jones,WR,ARI,5.080555555555556,5.030690364874035,21
Emanuel Wilson,RB,GB,5.006705882352941,5.020745788803891,39
Matthew Golden,WR,GB,5.0,4.956848659246614,14
Tyler Conklin,TE,LAC,5.138026960784313,4.944660215741654,39
Elijah Dotson,RB,LAC,3.9000000000000004,4.938861583487198,1
Nick Westbrook-Ikhine,WR,MIA,4.950164835164834,4.937903621554906,40
Travis Hunter,CB,JAX,9.114285714285716,4.923164398325689,7
Chris Conley,WR,SF,4.866666666666667,4.862727490724934,10
Zach Wilson,QB,MIA,3.340238095238095,4.86038215273496,16
Blake Watson,RB,DEN,3.3,4.853147297772913,1
Tanner Hudson,TE,CIN,5.076666666666666,4.85144121363386,31
Jake Funk,RB,IND,3.2000000000000006,4.838861583487199,1
Kyle Trask,QB,TB,-0.060000000000000005,4.834963439669054,5
Deon Jackson,RB,IND,4.000000000000001,4.834003885551299,2
