tier,vbd_rank,adp_rank,value_gap,sleeper_flag,overvalued,valuation_basis,name,position,team,shrunk_ppg,active,injury_status
,,,,False,False,"ADP-only, no stat history",Dominic Lovett,WR,DET,,True,
,,,,False,False,"ADP-only, no stat history",Malik Turner,WR,SF,,True,
,,,,False,False,"ADP-only, no stat history",Kearis Jackson,WR,TEN,,True,
,,,,False,False,"ADP-only, no stat history",Jalen Moreno-Cropper,WR,DAL,,True,
,,,,False,False,"ADP-only, no stat history",Coleman Owen,WR,IND,,True,IR
,,,,False,False,"ADP-only, no stat history",Nick Muse,TE,MIN,,True,
,,,,False,False,"ADP-only, no stat history",Moliki Matavao,TE,NO,,True,IR
,,,,False,False,"ADP-only, no stat history",Cole Fotheringham,TE,LV,,True,
,,,,False,False,"ADP-only, no stat history",Drake Dabney,TE,GB,,True,
,,,,False,False,"ADP-only, no stat history",David Wells,TE,TB,,True,
,,,,False,False,"ADP-only, no stat history",Travis Vokolek,TE,ARI,,True,
,,,,False,False,"ADP-only, no stat history",Tre' McKitty,TE,LAC,,True,
,,,,False,False,"ADP-only, no stat history",Hayden Rucci,TE,MIA,,True,
,,,,False,False,"ADP-only, no stat history",Tyler Kroft,TE,MIA,,True,
,,,,False,False,"ADP-only, no stat history",Baylor Cupp,TE,KC,,True,
,,,,False,False,"ADP-only, no stat history",Stephen Anderson,TE,LAC,,True,
,,,,False,False,"ADP-only, no stat history",Parker Hesse,TE,ATL,,True,
,,,,False,False,"ADP-only, no stat history",Thomas Fidone II,TE,NYG,,True,
,,,,False,False,"ADP-only, no stat history",Darrell Daniels,TE,DET,,True,
,,,,False,False,"ADP-only, no stat history",Sal Cannella,TE,CLE,,True,
,,,,False,False,"ADP-only, no stat history",Zach Davidson,TE,BUF,,True,
,,,,False,False,"ADP-only, no stat history",Jelani Woods,TE,NYJ,,True,
,,,,False,False,"ADP-only, no stat history",Nikola Kalinic,TE,CHI,,True,IR
,,,,False,False,"ADP-only, no stat history",Princeton Fant,TE,DAL,,True,IR
,,,,False,False,"ADP-only, no stat history",Jordan Matthews,TE,CAR,,True,
,,,,False,False,"ADP-only, no stat history",Nate Carter,RB,ATL,,,
,,,,False,False,"ADP-only, no stat history",Mike Strachan,WR,CAR,,,
,,,,False,False,"ADP-only, no stat history",Henry Pearson,TE,GB,,,
1.0,1.0,3.0,2.0,False,False,VBD,Puka Nacua,WR,LA,18.99899240487512,True,Questionable
1.0,2.0,1.0,-1.0,False,False,VBD,Jahmyr Gibbs,RB,DET,18.860579531303006,True,
1.0,3.0,6.0,3.0,False,False,VBD,Christian McCaffrey,RB,SF,18.722141967763307,True,Questionable
2.0,4.0,4.0,0.0,False,False,VBD,Ja'Marr Chase,WR,CIN,18.57803534133032,True,Questionable
2.0,5.0,2.0,-3.0,False,False,VBD,Bijan Robinson,RB,ATL,18.4207373874458,True,
3.0,6.0,7.0,1.0,False,False,VBD,Amon-Ra St. Brown,WR,DET,17.757448575781357,True,
4.0,7.0,8.0,1.0,False,False,VBD,Jonathan Taylor,RB,IND,17.288399552841916,True,
4.0,8.0,9.0,1.0,False,False,VBD,De'Von Achane,RB,MIA,17.2309112099235,True,
5.0,9.0,29.0,20.0,True,False,VBD,Trey McBride,TE,ARI,14.678797993741982,True,
6.0,10.0,34.0,24.0,True,False,VBD,Josh Allen,QB,BUF,21.736596832318835,True,
7.0,11.0,10.0,-1.0,False,False,VBD,CeeDee Lamb,WR,DAL,16.243650170692046,True,
7.0,12.0,15.0,3.0,False,False,VBD,Derrick Henry,RB,BAL,15.99084265060369,True,
7.0,13.0,31.0,18.0,True,False,VBD,Kyren Williams,RB,LA,15.918594467629733,True,
8.0,14.0,18.0,4.0,False,False,VBD,Saquon Barkley,RB,PHI,15.684386586788111,True,
8.0,15.0,11.0,-4.0,False,False,VBD,James Cook,RB,BUF,15.592390523566154,True,
8.0,16.0,5.0,-11.0,False,False,VBD,Jaxon Smith-Njigba,WR,SEA,15.606438126051444,True,
8.0,17.0,98.0,81.0,True,False,VBD,George Kittle,TE,SF,13.247267501166002,True,Questionable
9.0,18.0,35.0,17.0,True,False,VBD,Brock Bowers,TE,LV,12.951199339006775,True,
9.0,19.0,57.0,38.0,True,False,VBD,Josh Jacobs,RB,GB,14.835375642769472,True,NA
9.0,20.0,23.0,3.0,False,False,VBD,Nico Collins,WR,HOU,14.826061941352757,True,
9.0,21.0,,,False,False,VBD,Joe Mixon,RB,HOU,14.68885344061886,True,Questionable
9.0,22.0,42.0,20.0,True,False,VBD,Davante Adams,WR,LA,14.739787459009264,True,
9.0,23.0,16.0,-7.0,False,False,VBD,Rashee Rice,WR,KC,14.696381564262712,True,
9.0,24.0,17.0,-7.0,False,False,VBD,A.J. Brown,WR,PHI,14.514991666566411,True,
9.0,25.0,12.0,-13.0,False,False,VBD,Justin Jefferson,WR,MIN,14.322231228404528,True,
9.0,26.0,14.0,-12.0,False,False,VBD,Drake London,WR,ATL,14.267675656451958,True,
10.0,27.0,80.0,53.0,True,False,VBD,Jalen Hurts,QB,PHI,19.135837214834545,True,
10.0,28.0,59.0,31.0,True,False,VBD,Lamar Jackson,QB,BAL,19.0915645337483,True,
10.0,29.0,,,False,False,VBD,Tyreek Hill,WR,MIA,13.815261346298014,True,Questionable
10.0,30.0,33.0,3.0,False,False,VBD,Breece Hall,RB,NYJ,13.49845537800532,True,Questionable
10.0,31.0,38.0,7.0,False,False,VBD,Tee Higgins,WR,CIN,13.545654959665162,True,Questionable
10.0,32.0,20.0,-12.0,False,False,VBD,George Pickens,WR,DAL,13.47171176610752,True,
10.0,33.0,111.0,78.0,True,False,VBD,Travis Kelce,TE,KC,11.32244574078689,True,
11.0,34.0,26.0,-8.0,False,False,VBD,Malik Nabers,WR,NYG,13.106503927397291,True,Questionable
11.0,35.0,115.0,80.0,True,False,VBD,Sam LaPorta,TE,DET,10.944236956751263,True,Questionable
11.0,36.0,13.0,-23.0,False,True,VBD,Chase Brown,RB,CIN,12.888934000501704,True,
11.0,37.0,19.0,-18.0,False,True,VBD,Chris Olave,WR,NO,12.974716808368091,True,
11.0,38.0,27.0,-11.0,False,False,VBD,Garrett Wilson,WR,NYJ,12.957468229752717,True,
11.0,39.0,170.0,131.0,True,False,VBD,Alvin Kamara,RB,NO,12.733072225853572,True,Questionable
11.0,40.0,97.0,57.0,True,False,VBD,Stefon Diggs,WR,NE,12.838182039391972,True,
11.0,41.0,43.0,2.0,False,False,VBD,D'Andre Swift,RB,CHI,12.61612783789837,True,
11.0,42.0,46.0,4.0,False,False,VBD,Bucky Irving,RB,TB,12.561173401844878,True,
11.0,43.0,25.0,-18.0,False,True,VBD,Zay Flowers,WR,BAL,12.649242168218333,True,Questionable
11.0,44.0,39.0,-5.0,False,False,VBD,Travis Etienne,RB,JAX,12.484220886026714,True,
11.0,45.0,56.0,11.0,False,False,VBD,Mike Evans,WR,TB,12.585785211766003,True,Questionable
11.0,46.0,86.0,40.0,True,False,VBD,Brock Purdy,QB,SF,17.830322175186563,True,
11.0,47.0,106.0,59.0,True,False,VBD,Patrick Mahomes,QB,KC,17.787035535314608,True,Questionable
